antecedent,consequent,support,confidence,lift
{'U'},"{'AF', 'AA'}",0.829,0.872,1.028
"{'AA', 'U'}",{'AF'},0.829,0.941,1.031
"{'AF', 'U'}",{'AA'},0.829,0.937,1.023
{'N'},"{'AA', 'U'}",0.618,0.844,0.957
"{'N', 'AA'}",{'U'},0.618,0.948,0.996
"{'N', 'U'}",{'AA'},0.618,0.904,0.987
{'AB'},"{'AD', 'U'}",0.638,0.982,1.265
{'AD'},"{'AB', 'U'}",0.638,0.811,1.263
"{'AB', 'AD'}",{'U'},0.638,0.988,1.039
"{'AB', 'U'}",{'AD'},0.638,0.994,1.263
"{'AD', 'U'}",{'AB'},0.638,0.822,1.265
{'AB'},"{'AF', 'U'}",0.643,0.988,1.116
"{'AB', 'AF'}",{'U'},0.643,0.988,1.039
"{'AB', 'U'}",{'AF'},0.643,1.0,1.096
{'AD'},"{'AF', 'U'}",0.773,0.983,1.11
{'AF'},"{'AD', 'U'}",0.773,0.848,1.092
"{'AD', 'AF'}",{'U'},0.773,0.986,1.037
{'U'},"{'AD', 'AF'}",0.773,0.813,1.037
"{'AD', 'U'}",{'AF'},0.773,0.996,1.092
"{'AF', 'U'}",{'AD'},0.773,0.874,1.11
"{'N', 'AD'}",{'U'},0.524,0.98,1.031
{'N'},"{'AF', 'U'}",0.62,0.846,0.956
"{'N', 'AF'}",{'U'},0.62,0.958,1.007
"{'N', 'U'}",{'AF'},0.62,0.907,0.994
{'AB'},"{'X', 'AA'}",0.613,0.943,1.049
"{'AB', 'AA'}",{'X'},0.613,0.992,1.013
"{'AB', 'X'}",{'AA'},0.613,0.953,1.041
{'AD'},"{'X', 'AA'}",0.729,0.927,1.031
"{'AD', 'AA'}",{'X'},0.729,0.983,1.003
"{'X', 'AA'}",{'AD'},0.729,0.811,1.031
"{'AD', 'X'}",{'AA'},0.729,0.944,1.031
{'AA'},"{'X', 'AF'}",0.832,0.908,1.017
{'AF'},"{'X', 'AA'}",0.832,0.912,1.014
"{'AF', 'AA'}",{'X'},0.832,0.981,1.001
{'X'},"{'AF', 'AA'}",0.832,0.849,1.001
"{'X', 'AA'}",{'AF'},0.832,0.925,1.014
"{'X', 'AF'}",{'AA'},0.832,0.931,1.017
{'N'},"{'X', 'AA'}",0.64,0.874,0.973
"{'N', 'AA'}",{'X'},0.64,0.982,1.002
"{'N', 'X'}",{'AA'},0.64,0.892,0.975
{'AB'},"{'AD', 'X'}",0.639,0.983,1.273
{'AD'},"{'AB', 'X'}",0.639,0.812,1.263
"{'AB', 'AD'}",{'X'},0.639,0.989,1.009
"{'AB', 'X'}",{'AD'},0.639,0.994,1.263
"{'AD', 'X'}",{'AB'},0.639,0.828,1.273
{'AB'},"{'X', 'AF'}",0.643,0.989,1.108
"{'AB', 'AF'}",{'X'},0.643,0.989,1.009
"{'AB', 'X'}",{'AF'},0.643,1.0,1.096
{'AD'},"{'X', 'AF'}",0.769,0.978,1.095
{'AF'},"{'AD', 'X'}",0.769,0.843,1.092
"{'AD', 'AF'}",{'X'},0.769,0.981,1.001
"{'AD', 'X'}",{'AF'},0.769,0.996,1.092
"{'X', 'AF'}",{'AD'},0.769,0.861,1.095
"{'N', 'AD'}",{'X'},0.525,0.982,1.002
{'N'},"{'X', 'AF'}",0.633,0.864,0.968
"{'N', 'AF'}",{'X'},0.633,0.978,0.998
"{'N', 'X'}",{'AF'},0.633,0.882,0.967
{'AB'},"{'AD', 'AA'}",0.614,0.945,1.274
"{'AB', 'AA'}",{'AD'},0.614,0.994,1.264
"{'AD', 'AA'}",{'AB'},0.614,0.828,1.274
"{'AB', 'AD'}",{'AA'},0.614,0.951,1.038
{'AB'},"{'AF', 'AA'}",0.618,0.95,1.12
"{'AB', 'AA'}",{'AF'},0.618,1.0,1.096
"{'AB', 'AF'}",{'AA'},0.618,0.95,1.038
{'AA'},"{'AD', 'AF'}",0.739,0.806,1.029
{'AD'},"{'AF', 'AA'}",0.739,0.939,1.107
"{'AD', 'AA'}",{'AF'},0.739,0.996,1.092
{'AF'},"{'AD', 'AA'}",0.739,0.81,1.092
"{'AF', 'AA'}",{'AD'},0.739,0.871,1.107
"{'AD', 'AF'}",{'AA'},0.739,0.942,1.029
{'N'},"{'AF', 'AA'}",0.587,0.801,0.945
"{'N', 'AA'}",{'AF'},0.587,0.9,0.986
"{'N', 'AF'}",{'AA'},0.587,0.907,0.991
{'AB'},"{'AD', 'AF'}",0.646,0.994,1.268
